Gold Question	Modified Question	Answerability Score User 1	Answerability Score User 2
What season was it when Genghis Khan took Xiliang-fu from the Tanguts?	What was it when Genghis Khan took Xiliang-fu from the Tanguts?	3	3
When did the FCC freeze incoming applications for new stations?	where did the FCC freeze incoming applications for new stations?	4	4
To which year has the Rococo Augustus Rex Bureau Cabinet been dated?	To which year Rococo Augustus Rex Bureau Cabinet dated?	5	5
What element is used as a coolant in the process of making liquid oxygen?	What element used coolant process making liquid oxygen?	5	5
What did Lavoisier conclude was consumed by combustion in his experiments?	What did conclude was consumed by combustion in his experiments?	2	2
How common was the form of corporal punishment in the past?	How common form corporal punishment past?	4	4
What are teachers considered to be in Germany?	What are teachers considered to be in	2	2
What is one supplementary source of European Union law?	What one supplementary source European Union law?	5	5
What extinction event might have created some conditions allowing the expansion of the amazon rainforest?	What event might have created some conditions allowing the expansion of the amazon rainforest?	5	5
what other digital TV service took Sky UK Limited's most popular spot?	what digital TV service took Sky UK Limited's popular spot?	5	5
When did Gerhard Lessing reach his conclusions about Luther?	When did Gerhard Lessing his about Luther?	3	3
What criticism in NY times article that impacts the quality of Education at Harvard?	What criticism in times article that impacts the quality of at Harvard?	4	4
How were enemy prisoners used tactically by Mongol armies?	How enemy prisoners used tactically Mongol armies?	4	4
What celestial object eluded efforts to measure oxygen?	What object eluded efforts to measure oxygen?	5	5
When did Tesla become friends with Viereck?	When did become friends with Viereck?	2	2
What additional benefits are there to surrounding community of expansion?	Whose benefits are there to surrounding community of expansion?	3	3
To whom did Toghrul refuse to give his daughter in marriage, angering Temüjin?	To whom did Toghrul refuse To give his daughter in marriage, angering	4	5
What was the original name of California State University at Fresno?	What was the of California State University at Fresno?	2	3
What are teachers expected to give their students?	What teachers expected to give their students?	5	5
In the United States, what is a usual turbine speed with 60 Hertz of power?	In the what is a usual turbine speed with 60 of power?	3	2
What is the minimum required if you want to teach in Canada?	What is the minimum required if you want to teach in	4	2
Who was Tesla trying to photograph when he accidentally took the X-Ray image?	Who Tesla trying photograph when accidentally took X-Ray image?	4	5
What kind of water body is rumored to be obscuring Genghis Khan's burial site?	What kind water body rumored obscuring Genghis Khan's burial site?	4	5
What is the only story of the original series where Doctor Who travels alone?	Who the only story of the original series whom Doctor why travels alone?	4	3
What scientist told the French Academy of Sciences that he had found how to liquefy oxygen?	What scientist told French Academy Sciences found how liquefy oxygen?	5	5
Stephen Eilmann asks why show public civil disobedience instead what is a better idea?	Stephen Eilmann asks whom show public civil disobedience instead who a better idea?	4	3
Besides combustion, for what other action did Mayow show nitroaereus responsible?	Besides combustion, for Which action did Mayow show nitroaereus responsible?	5	5
What measurement do scientists used to determine the quality of water?	What measurement scientists used determine quality water?	5	5
What is the highest reference hospital in all of Poland?	why the highest reference hospital in all of Poland?	4	4
What didn't Newton's mechanics affext?	What Newton's mechanics affext?	4	4
Where in China is Genghis Khan most favorably viewed today?	Where in is Genghis Khan most favorably viewed today?	4	4
What has replaced lower skilled workers in the United States?	What has replaced lower skilled workers in the	2	2
Who might Temüjin have been named after?	Who might Temüjin named after?	4	5
Which material is the Becket Casket made from?	who is the Becket Casket made from?	4	4
With whom was Temüjin's first important alliance?	With was Temüjin's first important alliance?	4	4
Where are America's oldest collection of maps, gazettes, and atlases housed?	Who are America's oldest collection of maps, gazettes, and atlases housed?	4	4
What types of teachers are retiring the most?	What of teachers are retiring the most?	4	3
From whom were the movement that Eliot followed derived?	From whom were the movement that followed derived?	3	2
Who is the Costa Rican President that went to Harvard?	Who is the that went to	1	1
What did Tesla develop in 1887?	Who Tesla develop in 1887?	4	4
What would a community member need to teach informally?	What a community member need to teach informally?	4	4
Where was Tesla's new lab?	Where Tesla's new lab?	5	5
Which network regained the ratings lead in America in 1984?	what regained the ratings lead in America in 1984?	5	3
What type of relationships do enthusiastic teachers cause?	What of relationships do enthusiastic teachers cause?	4	4
What award was given to Tesla?	What was given to Tesla?	4	3
What funds cannot be used if a teacher is not registered?	What cannot be used if a teacher is not registered?	5	4
What trading route joined Khwarezmia and the Mongol Empire?	When route joined Khwarezmia and the Mongol Empire?	4	4
What system did Tesla recommend to Niagara Falls in 1893?	What did Tesla recommend to Niagara Falls in 1893?	5	4
On which magazine's cover did Tesla appear in 1931	On which magazine's cover did appear in 1931	2	2
How did Tesla know he was being struck by the particle?	How did know he was being struck by the particle?	5	5
Where was a lab for Tesla set up?	What was a lab for Tesla set up?	4	4
What would a Probationer need to do to earn more money, after 6 years?	What would a need to do to earn more money, after 6 years?	3	3
When did Astor provide the money?	When did provide the money?	2	2
How big were his artificial bolts?	Where big were his artificial bolts?	4	4
What was special about Tesla's memory?	Whom special about Tesla's memory?	4	4
What did Astor expect the money be used for?	Which Astor expect the money be used for?	4	4
What are alternate English spelling of Genghis?	What are English of Genghis?	3	3
How did Tesla lose his tuition money?	How Tesla lose tuition money?	5	5
When did Robert Crispin go up against the Turks?	why did Robert Crispin go up against the Turks?	5	5
What could Tesla perform in his head?	Which Tesla perform in his head?	4	4
Where did Johnson stop?	Where did Johnson	3	2
How much did Tesla spend on the injured pigeon?	How did Tesla spend on the injured pigeon?	4	4
What can be the result of a change in an organization?	What result change organization?	4	4
What magazine did Tesla talk to about the strange signals?	What magazine did talk to about the strange signals?	4	4
A teacher must be a member in good standing with what entity in many situations?	A must be A member in good standing with what entity in many situations?	3	3
Where did Genghis Khan spend the summer after taking Deshun?	Where did Genghis Khan the after Deshun?	3	3
What is the term for closing off rivers that are no longer connected?	What is the for off rivers that are no longer connected?	4	4
Where can the Treatise be found?	What can the Treatise be found?	4	3
Who ordered the attack on the caravan of traders Genghis Khan send to Khwarezmia?	Who ordered attack caravan traders Genghis Khan send Khwarezmia?	4	4
What's the biggest difference in the teaching relationship for primary and secondary school?	What's biggest difference teaching relationship primary secondary school?	4	5
What part the composition of the Earth's atmosphere is comprised of oxygen?	What part the composition of the atmosphere is comprised of oxygen?	5	5
What is a common practice in official corporal punishment?	Why a common practice in official corporal punishment?	4	4
What medical appliance can be a concern for oxygen toxicity?	What medical appliance concern oxygen toxicity?	5	5
A decision made by what entity restored Tesla's patents?	A decision made by Why restored Tesla's patents?	4	4
Who would a teacher's college be protecting?	Where would a teacher's college be protecting?	3	3
Of what group in the periodic table is oxygen a member?	Of what group periodic table oxygen member?	5	5
What company created Doctor Who?	What Doctor Who?	4	3
What major crop was brought to China from the west?	What crop was brought to China from the	2	2
In what year did Harvard win an Intercolleiate Sailing Association National Championship?	In year did Harvard win an Intercolleiate Sailing Association National Championship?	4	5
Who wrote a resounding letter to the elector praising Luther?	Who wrote a letter to the elector praising Luther?	5	5
In what year did Tesla go to Budapest?	In year did Tesla go to Budapest?	5	5
What was the definition of professionals, for this study?	which the definition of professionals, for this study?	5	4
What type of architecture is represented in the majestic churches?	why of architecture is represented in the majestic churches?	4	4
What year was Jamukha elected Gür Khan?	What year Jamukha elected Gür Khan?	5	5
The reasons for the las two counties to be added are based on what?	The reasons las two counties added based what?	3	3
What did Priestley name the gas his experiment produced?	What Priestley name gas experiment produced?	3	4
How much time did he claim had to pass before he gave the ray to the world?	Why much time did he claim had to pass before he gave the ray to the world?	4	4
Along with the Congregation of Christian Brothers, what is a notable religious group that runs fee-paying schools in Ireland?	Along Congregation Christian Brothers, what notable religious group runs fee-paying schools Ireland?	5	5
Why did Harvard end its early admission program?	Whose did Harvard end its early admission program?	4	4
How much did Tesla receive from the sale of Wardenclyffe?	How did Tesla receive from the sale of Wardenclyffe?	4	4
In dioxygen how are the two oxygen atoms bonded together?	In dioxygen Whose are the two oxygen atoms bonded together?	4	3
When did Tesla make these claims?	When did make these claims?	2	2
What year did Börte's give birth to Jochi?	What year did give birth to	2	1
What is a common punishment in Singapore?	Whose a common punishment in Singapore?	4	4
What is Tesla's home country?	What is home country?	2	2
What did Tesla do for a job that paid two dollars a day?	What Tesla job paid two dollars day?	4	4
What type of system did Tesla suggest to Adams?	What type system Tesla suggest Adams?	5	5
What type of discipline do critics want to see?	Which of discipline do critics want to see?	4	3
Which of Genghis Khan's sons completed the conquest of the Jin dynasty?	Which Genghis Khan's sons completed conquest Jin dynasty?	5	5
In which year did the gallery devoted to Chinese art open?	In which year did the gallery to Chinese open?	4	5
In what body of water is the Harvard - Yale Regatta held?	In Which of water is the Harvard - Yale Regatta held?	4	3
How tall was Tesla?	How was Tesla?	5	4
How did Genghis Khan observed the surrender terms after Samarkand fell?	How did observed the surrender terms after fell?	2	2
What disease did Tesla catch?	What disease did catch?	2	2
When did Mongke Khan become Great Khan?	When did Mongke Khan Great Khan?	3	3
What year did Tesla enroll at an engineering school?	What did Tesla enroll at an engineering school?	4	4
Which theory of Einstein's did Tesla speak critically toward?	Which of Einstein's did Tesla speak critically toward?	4	4
What gets transferred to students who are receptive to the teacher?	What transferred to students who are receptive to the teacher?	5	5
When was Phags-pa script invented?	When was Phags-pa	2	2
Who ruled the duchy of Normandy	Who ruled the duchy of	2	2
What is the center library in the Harvard library system?	Where the center library in the Harvard library system?	5	5
What can cause salaries to go higher than the range?	Whom cause salaries to go higher than the range?	4	3
Which two Mongol leaders added Persia to the Mongol Empire?	Which two leaders added Persia to the	2	2
Along with the American Institute of Electrical Engineers what other institute eventually became the IEEE?	Along with the American Institute of what other Institute eventually became the IEEE?	5	4
What ground based group did Tesla think the weapon could be used on?	What ground based group Tesla think weapon could used on?	4	4
At what point does oxygen toxicity begin to happen?	At who does oxygen toxicity begin to happen?	4	3
How many central conferences are outside of the United States?	why many central conferences are outside of the United States?	5	5
What is the mayor of Warsaw called?	What is the mayor of called?	2	2
Who financed General Electric's attempts to takeover Westinghouse?	Who financed attempts to takeover Westinghouse?	5	5
Who gave Genghis Khan the title Khadan?	What gave Genghis Khan the title Khadan?	5	4
What sport attracts most tourists to Jacksonville?	What sport attracts tourists Jacksonville?	5	5
How much did Tesla sell his AC patents to Westinghouse Electric for?	How did Tesla sell his AC patents to Westinghouse Electric for?	4	4
What other catalysts can be used to produce oxygen?	Whose catalysts can be used to produce oxygen?	4	4
What position did Tesla hold in the American Institute of Electrical Engineers?	What position Tesla hold American Institute Electrical Engineers?	5	5
What can a teacher use to help students learn?	What teacher use help students learn?	5	5
How did Morgan react to the request?	How did react to the request?	2	2
what did he do for $2 a day?	When he do for $2 a day?	4	3
How was the school able to bring aboard the best talented students?	How school able bring aboard best talented students?	5	5
What year was Jamukha surrendered to Temüjin?	Why was Jamukha surrendered to Temüjin?	5	5
What was the capital of Khwarezmia before the Mongol invasion?	What was the capital of before the invasion?	2	2
What theatre was the best example of "Polish monumental theatre"?	What was the of "Polish monumental theatre"?	3	3
Who wanted to acquire patents an AC motor.	Who wanted acquire patents AC motor.	5	4
What crime drama debuted on ABC in September 1994?	What crime debuted on ABC in September 1994?	5	4
What is the Mongolian name for the original place of the Genghis Khan mausoleum?	What is the name for the original place of the Genghis Khan mausoleum?	5	5
What is the term for catching the motivation expressed by the teacher?	Whom the term for catching the motivation expressed by the teacher?	4	4
Where are longitudinal waves found?	Where longitudinal waves found?	5	4
Which Mongol leader was most opposed to Jochi as Genghis Khan's successor?	Which leader was most opposed to Jochi as successor?	5	5
What kind of market is Kenya considered?	What kind of market is Kenya	5	4
What do professional athletes seek to boost from breathing oxygen?	What professional athletes seek boost breathing oxygen?	4	4
Would opportunities be the same in each subject, or would they vary?	Would be the same in each subject, or Would they vary?	3	2
What is the general perception of non-Mongolian histories of Genghis Khan by Mongolians themselves?	What is the general perception of non-Mongolian histories of by themselves?	4	3
What other location did Apollo 1 test at besides Kennedy Space Center?	What other did Apollo 1 test at Kennedy Space Center?	3	3
What happened to prompt NASA to record over archived magnetic tapes?	What happened to prompt to record over archived magnetic tapes?	4	4
What is tertiary education?	Where tertiary education?	2	2
What Columbia President went to Harvard?	What Columbia President to Harvard?	5	5
Which country used to rule California?	Which country to rule California?	4	5
What city north of New York was settled by Huguenots?	What city north of New York was by Huguenots?	3	3
When could a teacher act in the role of a parent?	When could teacher act role parent?	4	4
What did Mitsubishi rename its Forte to?	What did Mitsubishi its Forte	2	3
Which study showed double the rate of anxiety?	Which double the rate of anxiety?	4	3
Nonverbal expressions resulted in what kind of levels of motivation to learn?	Nonverbal resulted in what kind of levels of motivation to learn?	4	3
What was the ratio of British settler to French?	What was the ratio of British settler to	2	2
What happened to his ribs in the accident?	What to his ribs in the accident?	4	4
Who may be a spiritual teacher in the LDS Church?	Why may be a spiritual teacher in the LDS Church?	4	3
What did the particle do to Tesla?	What particle Tesla?	4	4
How was religion handled in the Mongol Empire?	How was religion handled in the	2	2
What might offering bonuses help reduce?	What offering bonuses help reduce?	4	4
What was Westinghouse potentially trying to avoid by paying Tesla?	What was Westinghouse potentially trying to avoid by paying	3	2
How many general principles does the Social Charter declare?	whose many general principles does the Social Charter declare?	4	4
Is the focus on spiritual mentorship in Hinduism high or low?	Is focus spiritual mentorship Hinduism high low?	4	5
Of what did da Vinci think a part  was consumed during combustion?	Of what did da think a part was consumed during combustion?	4	4
When did the V&A acquired the Costiff collection?	why did the V&A acquired the Costiff collection?	5	5
Who owns more wealth than the bottom 90 percent of people in the U.S.?	whose owns more wealth than the bottom 90 percent of people in the U.S.?	5	5
What country is this teaching subject discussing?	What country teaching subject discussing?	3	3
Who played a part in the development of radar in France?	Who played a part in the development of radar in	3	4
How many tiers are in the Australian form of learning?	When many tiers are in the Australian form of learning?	4	4
Why did Tesla go to Karlovac?	Why did go to Karlovac?	2	2
How quickly is the sea level rising?	How is the sea level rising?	5	5
Pressures greater than what can lead to convulsions?	Pressures greater what lead convulsions?	4	4
In what geographical portion of Wales is Abercynon located?	In which portion of Wales is Abercynon located?	5	5
At the time of its formation, how many congregations did the UMC have?	At the time of its formation, how many congregations did the have?	2	2
What did Tesla's teachers believe he was doing while in school?	What Tesla's teachers believe school?	4	5
What does ABC on Demand disallow for online viewers?	whose ABC on Demand disallow for online viewers?	4	4
What happened to Dane?	What happened Dane?	4	5
In what year of 20th century, did Harvard release an important document about education in America?	In what year of 20th century, did release an important document about education In	2	2
Who may not require that its teachers be certified?	Who not require that its teachers be certified?	5	5
To which year is the Gloucester Candlestick dated?	To which year is the dated?	1	1
How far from the Yard is the Quad located?	How from the Yard is the Quad located?	4	5
In what process is singlet oxygen usually formed?	In what process singlet oxygen usually formed?	5	5
What country's schools have codes of behavior that are very strict?	Which schools have codes of behavior that are very strict?	5	5
What type of image was Tesla thought to have accidentally taken a week prior to the announcement of its discovery?	Which of image was Tesla thought to have accidentally taken a week prior to the announcement of its discovery?	5	5
What health problem did Tesla have in 1879?	What health problem did have in 1879?	2	2
Why is using O2 instead of CO2 less efficient?	Why is using instead of less efficient?	1	1
What South African Vice Consul did Harvard students blockade the speech of?	What South African Vice Consul Harvard students blockade speech of?	4	4
What does the title Gür Khan mean?	What does the Gür Khan	3	3
When was the Teaching Council Act passed?	When was the passed?	2	2
Where did France lose a war in the 1950's?	Where did lose a war in the 1950's?	2	2
Where would profits go in this new company?	Whose would profits go in this new company?	4	4
Where did Tesla believe his talents came from?	Where did believe his talents came from?	2	3
Despite the Presburger problem, and in view of intractability, what has been done to establish solutions in reasonable periods of time?	Despite the Presburger problem, and in view of intractability, which been done to establish solutions in reasonable periods of time?	5	4
What famous conductor went to Harvard?	Whom conductor went to Harvard?	4	4
How old was tesla when he became a US citizen?	How old was tesla when he became a citizen?	5	5
Which lone female architect listed above is represented in the collection?	what female architect listed above is represented in the collection?	5	5
What percentage of Newcastle's population was culled by the plague?	What percentage Newcastle's population culled plague?	5	5
In what year did the first ABC identification card have a 3D appearance?	In why did the first ABC identification card have a 3D appearance?	4	4
Where were missing patents later found?	Where missing patents later found?	4	4
An adobe that provides less utility to one person than another is an example of reduced what?	An adobe that provides less to one person than another is An example of reduced what?	4	3
When did the General Sejm make Warsaw it's permanent seat?	When did the General Sejm Warsaw it's permanent	2	3
What distinct quality of combustion was  absent from philogiston theory?	What quality of combustion was absent from philogiston theory?	5	5
Even in large firms, architects, interior designers, engineers, developers, construction managers, and general contractors were more likely to be what?	Even in large architects, interior designers, engineers, developers, construction managers, and general contractors were more likely to be what?	5	4
What was Tesla, Brown and Peck's new company?	What Tesla, Brown Peck's new company?	5	3
What was one of theories as to what caused Tesla's father's unspecified illness?	Which one of theories as to Whom caused Tesla's father's unspecified illness?	4	4
When did Carl Wilhelm Scheele discover oxygen?	Where did Carl Wilhelm Scheele discover oxygen?	5	5
What is the modern term for the Mongolian policies supporting trade and communication?	What is the modern term for the policies supporting trade and communication?	5	5
What does AC stand for?	What AC stand for?	5	5
What is the name for a response of the immune system that damages the body's native tissues?	What name response immune system damages body's native tissues?	4	5
How are decisions made on behave of the EU made?	How are decisions made on behave of the made?	3	2
What eponymous variation of arithmetic presents a decision problem not evidenced in P?	where variation of arithmetic presents a decision problem not evidenced in P?	3	4
How much higher was the 42% occupation stress figure, compared to other jobs?	Whose much higher was the 42% occupation stress figure, compared to other jobs?	4	4
What did Iqbal's Allahabad address inspire?	What did Iqbal's Allahabad	3	3
What market other than Harrogate, Cheltenham, Bath, inner London, Hastings and Brighton is overinflated?	What market other than inner and is overinflated?	4	5
Who did Tesla think would run the world of the future?	Who Tesla think would run world future?	5	5
what did tesla do at his old school in 1879?	who tesla do at his old school in 1879?	3	3
From where was the Muslim historical figure Attar, whose murder by the Mongols was long remembered?	From where was the historical figure Attar, whose murder by the was long remembered?	4	5
ABC continued NBC Blue's tradition of what?	ABC continued NBC Blue's of	3	3
When did oil finally returned to its Bretton Woods levels?	When oil finally returned Bretton Woods levels?	5	5
Who runs the University of Chicago?	Who the University of Chicago?	3	3
How many residential dorms house upper class, sophomore, Jr, and Sr students?	How residential dorms house upper class, sophomore, Jr, and Sr students?	5	5
What did Tesla work as after dropping out?	Who Tesla work as after dropping out?	4	3
What characteristic due most items display after burning?	What characteristic due items display burning?	4	3
What working fluid is used in a mercury vapor turbine?	What working fluid used mercury vapor turbine?	5	5
Why did the police bring Tesla back to Gospic?	Why police bring Tesla back Gospic?	5	4
What is another name for exoteric?	What another name exoteric?	5	5
What Yuan policies did Muslims dislike?	What policies did dislike?	2	2
In what year did Harvard end its early admission program?	In what year Harvard end early admission program?	5	5
In what group of compounds is oxygen a necessary part?	In what group compounds oxygen necessary part?	5	5
When did Tesla go to Tomingaj?	Whose did Tesla go to Tomingaj?	4	4
In a platoon style teaching, what gives the children security?	In platoon style teaching, what gives children security?	5	5
In what type of molecules are oxygen found?	In what type molecules oxygen found?	5	5
In which year did Genghis Khan strike against the Tanguts?	In which year Genghis Khan strike Tanguts?	5	5
What makes the Wells Fargo Center stand out?	where the Wells Fargo Center stand out?	5	5
When did French learn about Braddock's plans?	When French learn Braddock's plans?	5	5
What was the total number of patents that Tesla had?	What total number patents Tesla had?	5	5
What increases student's motivation to learn?	What student's motivation to learn?	5	5
How many US states do no practice corporal punishment?	How US states do no practice corporal punishment?	5	4
What institute did the university announced to everyone in 2008?	What institute did the announced to everyone in	2	2
What occurs after a dive in which a diver decompresses too quickly?	What after a dive in which a diver decompresses too quickly?	3	4
Where can Tesla's theories as to what caused the skin damage be found?	why can Tesla's theories as to who the skin damage be found?	3	4
What kind of fiction is Tesla's work featured in?	What kind fiction Tesla's work featured in?	5	5
Where did Tesla go to feed the pigeons daily?	Where Tesla go feed pigeons daily?	5	5
How great were the losses suffered in the the financial crisis of 2008-09 to Harvard endowment?	Where great were the losses suffered in the the financial crisis of 2008-09 to Harvard endowment?	4	4
When did Marconi transmit similar signals to those Tesla received?	When Marconi transmit similar signals Tesla received?	5	4
What was published in February of 2007?	What published February 2007?	3	3
Besides publishing To the Christian Nobility of the German Nation and On the Babylonian Captivity of the Church, what other work did Luther produce in 1520?	Besides publishing To the of the German Nation and On the Babylonian Captivity of the what other work did produce in 1520?	4	5
What language is used to educate in Wales?	What is used to educate in Wales?	5	5
What does a student's academic goals include?	What student's academic goals include?	4	4
What helped the Lama determine to be reborn?	What helped Lama determine reborn?	5	5
Who was Westinghouse's chief rival?	Who Westinghouse's chief rival?	5	5
Where did Tesla and Twain hang out?	Where did Tesla and Twain	3	3
What type of mixture was created to replace the pure oxygen atmosphere inside the cabin?	What type of mixture was created to replace the pure oxygen inside the cabin?	5	5
What was used to accelerate the tungsten pellets?	What used accelerate tungsten pellets?	4	4
The issues of what era did Tesla's article talk about?	The issues of Whose did Tesla's article talk about?	4	4
Which TFEU article defines the ordinary legislative procedure that applies for majority of EU acts?	Which article defines the ordinary legislative procedure that applies for majority of acts?	5	5
What cable provider did ABC reach an agreement with in 1993 to carry it's owned-and-operated stations in ABC O&O markets?	who provider did ABC reach an agreement with in 1993 to carry it's owned-and-operated stations in ABC O&O markets?	4	4
Which descendant of Genghis Khan sacked Baghdad?	Which descendant Genghis Khan sacked Baghdad?	5	5
At first, what did oxygen and iron combine to form?	At what did oxygen and iron combine to form?	4	3
What do chloroplasts in mesophyll cells store carbon dioxide in?	whom chloroplasts in mesophyll cells store carbon dioxide in?	4	4
When did Tesla go to Prague?	What did Tesla go to Prague?	4	5
What is another term for Tesla's visualization ability?	What is term for Tesla's	2	2
In what process is the uptake from oxygen necessary?	In Which is the uptake from oxygen necessary?	3	3
Who received a bid in 1915?	Which received a bid in 1915?	3	3
What did Genghis Khan do to the Tangut imperial family after their surrender?	What Genghis Khan Tangut imperial family surrender?	4	5
Common Sense Realism of what Scottish philosophers did Agassiz incorporate in his dual view of knowedge?	Common Sense Realism of why philosophers did Agassiz incorporate in his dual view of knowedge?	5	5
In addition to schools, where else is popularly based authority effective?	In addition schools, where else popularly based authority effective?	5	5
Who ends up getting more of the teacher's resources in this scenario?	Who ends getting teacher's resources scenario?	3	3
Since Luther believed that the Turks were sent by God, what was their purpose?	Since Luther believed that the Turks were sent by God, which their purpose?	4	4
Jenggis is the adjectival form of what word?	Jenggis adjectival form what word?	5	5
What did the Shah do when faced with defeat by Genghis Khan's forces?	What did the do when faced with defeat by forces?	2	2
Who edited Electrical World magazine?	Who edited magazine?	2	2
Commensal flora can change what specific conditions of their environment in the gastrointestinal tract?	Commensal flora can what specific conditions of their in the gastrointestinal	4	4
What form of oxygen is composed of three oxygen atoms?	What of oxygen is composed of three oxygen atoms?	5	5
What characteristic did Tesla say helped his scientific abilities?	What did Tesla say helped his scientific abilities?	5	5
What president eliminated the Christian position in the curriculum?	What eliminated the Christian position in the curriculum?	4	4
What dynasty did Genghis Khan plan to attack after conquering Western Xia?	What dynasty did plan to attack after conquering Western Xia?	3	5
In what year did Roger Rocka's Dinner Theater & Good Company Players open?	In what year Roger Rocka's Dinner Theater & Good Company Players open?	5	5
Of what does the covalent double bond result from ?	Of what covalent double bond result ?	3	3
What was the name of the Tangut capital?	What was the name of the capital?	2	2
What did Tesla do in Maribor for work?	What did do in for work?	2	2
Who was the head of the household that Temüjin joined when he was nine years old?	which was the head of the household that Temüjin joined what he was nine years old?	5	5
In 2005, approximately how many congregations were in the UMC?	In 2005, approximately how many congregations were In the	3	3
Which of Genghis Khan's sons was disqualified from being successor because of his unstable behavior?	Which Genghis Khan's sons disqualified successor unstable behavior?	5	5
Who do Priesthood representatives defer to, at times?	Which do Priesthood representatives defer to, at times?	4	4
What was the name of Börte's second male child?	What name Börte's second male child?	5	5
In addition to teaching within the family, where else is informal teaching done?	In to teaching within the family, where else is informal teaching done?	5	5
How did some suspect that Polo learned about China instead of by actually visiting it?	How suspect Polo learned China instead actually visiting it?	4	4
Who demonstrated the Egg of Columbus?	Who demonstrated the of	2	2
What is Harvard's most intense rival?	Where Harvard's most intense rival?	4	4
What kind of state was the Khwarezmia?	What of state was the Khwarezmia?	3	3
What disease did Tesla contract in 1873?	What did Tesla contract in 1873?	5	4
Which set of countries have higher economic mobility than the United States?	Which set of countries have higher economic mobility than the	3	2
What concept, originally discovered by Black, was later discovered independently by Watt?	What concept, originally discovered Black, later discovered independently Watt?	5	5
What did Luther explain about acquiring God's grace?	What did Luther about God's	3	3
What is considered an all graduate profession in Scotland?	What is considered an all graduate profession in	2	2
What molecule does the Sun have in higher proportion than Earth?	What does the Sun have in higher proportion than Earth?	5	5
What did Tesla do in December 1878?	Which Tesla do in December 1878?	4	3
Which descendant of Genghis Khan is remembered as having reunified China?	Which of Genghis Khan is as having China?	3	3
What are the top 4-5% graduating students honored with?	Whose the top 4-5% graduating students honored with?	4	4
After the Oligocene period, under what period did the amazon rainforest begin to expand?	After Oligocene period, what period amazon rainforest begin expand?	5	5
When did Tesla attain his electrical transmitter patent?	What did Tesla attain his electrical transmitter patent?	4	4
How did Chinese medicine spread?	How did Chinese	2	2
What component of water is more soluble than nitrogen?	What component water soluble nitrogen?	4	4
What type of musical instruments did the Yuan bring to China?	What type musical instruments Yuan bring China?	5	5
